,title,comment,score
2070,stole money,locked account stole money,1
2071,terrible customer service,used rebtel long time updated stupid app makes impossible resolve issues unused credits line made call serbia blocked app tried every means reopen app kept saying send verification code phone never happened got email support team started asking called serbia really whos fking business call problem go ahead record call take security measure always used service make international calls business call serbia got blocking account holding call credit sorry lost one forever give bad reviews multiple platforms make loose people company dont respect regard customers dont deserve business,1
2072,big lie big cheat,honestly never haunting experience service provider told rebtel friend googled rebtel website welcome page says unlimited calls india try one week free created account nov 8th 225 pm hence eligible free trial nov 15th decided continue hence payment 10 deducted card 15th november made numerous calls november 8th till yesterday india got shock life tmobile service provider sent hefty bill calls told calls made using network towers emailed rebtel immediately since deliberately customer care number given call another shock got customer care representative told free trial expired day activation ie november 8th reactivated nov 15 make calls told whole experience way replied insensitive unprofessional start experience trust guys known person want use services,1
2073,confidence call,cant make conference call used make keep calling,4
2074,theives,first 600 minutes supposed free ive charged 45 course three months please uninstall app better google voicewhatsappor anything urgh im soooo mad,1
2075,rebtel changed,useless call appi loaded rebtel new phone number told days free trial charged decided 15month subscription didnt finish using cancelled saying free trial expiredeventhe free supposed give person used link download rebtel phone didnt get itrebtel need issue resolved go public tell people fraudulent guys arethis really fair,1
2076,rebtel really unlimited,hi everyone paris sharing experience using rebtel using rebtel months used call india scheme unlimited charged 10 euro rebtel valid 30 days,2
2077,call charged rebtel friend,jus installed rebtel app incoming outgoing call friend rebtel app charged says free calling rebtel friends anywhere bad experience wont use pls refund money,1
2078,headacheautorecharge,never selected autorecharge option hell rebtel auto recharge doesnt ask,2
2079,stealing,many years thousands dollars spend company come realize make rich stealing customers notice yesterday 62 minutes set expire 5pm try use expire 11am customer service zero mind expire complained nothing tell minutes scheduled expire knew reason wanted use anyone using rebtel careful thieves imagine many times stolen without know customers spend thousands dollars company concern customer minneapolis,1
2080,false advertisement,steal minutes please aware round minutes talk sec round minute therefore 60 minutes advertise new account open false talk less also call one answers take minutes overall bad experience aware,1
2081,charged card even though cancelled free trial,cancelled free trail one day 7th day still got charged bank account contacted customer care said auto charge enabled technical team would look concerns however never heard back,1
2082,drops call every time,ive used rebtel many years always happy service last months every call make dropped see reviewers complaining happening recording states want call friend back based current service id given one star great company past ive upped two stars however problem continues guess time find new provider,2
2083,rebtel,good service,5
2084,customer service,emailed support twice reply use service fone sister 00441624851644 seriously ill cancer rebtel says connecting disconnects going please,2
2085,sneeky squeeze,happened rebtel used get time deal call nigeria seems indirectly bill minutes actual call found away squeeze money users nice,2
2086,used love company rebtel got greedy,15 used get 600 minutes usa nigeria giving 160 minutes 15 count done rebtel,2
2087,rebtel corrupt company,rebtel unethical corrupt grredy,1
2088,rebtel stealing money,use good company lateive noticed 10 credit wasnt much anymore loosing money every time use service looking options,2
2089,rebtel customer friendly cheating,mistakenly opt world credit plan instead india unlimited plan cut huge money every india call customer service executives rude converting plan back deal much frustrated service advise keep away rebtel,1
2090,rebtel cheating,hello tested app called free wifi wife rebtel app bosnia came denmark appeared wifi opkold rebtel costs 1310 kr 19 seconds thing ka see rebtel local call 19 pp 1301 kr cheating,1
2091,great service,especially cuba connectivity optimum thank,5
2092,bad company,really cheaters two occasions activated india unlimited calling two different accounts payment goes activated 1000 mins plan charge screenshot second time really avoid using contact trading standards issue also cancel payment bank,1
2093,rebtelwhats happened,ive used rebtel phone family south africa many years always ultra cheap reliable easy use year however line continually drops although share strong signal every minutes voice inexplicably cut useless offers free calls friends phone phone using rebtel yes extremely expensive least get complete call experience phone roulette come rebtel coincidently gone downhill changed logo aptly put woman screaming frustration facebook cover page lol,2
2094,good service clear connection,find rebtel easy use clear connection one drawback difficulty paying credit promotion advertised shown website wouldnt allow take advantage go ahead add credit using normal method wasnt able take advantage promotion,4
2095,cheap good quality connection,ive using rebtel since 2014 first service prices call quality made good impression could make calls country without problems however needed access wifi got disconnected tried email customer support response,3
2096,easy convinient,easy use great app convinientvery user friendly great deals great quality,5
2097,good,good,5
2098,overseas calls get disconnected,overall service pretty good sometimes call italy gets disconnected,4
2099,great,love rebtel cheapest make connect people fear,5
2100,call quality,good service would like see call quality improve reduce call drops,3
2101,great easy use,keep good work calling easy,5
2102,great works,used rebtal country used wifi choice works great however time work tried email company response,3
2103,great high quality calling foreign countries,crystal clear low cost,5
2104,firsr trial fail call,rebtel good app sometimes hard connect charging time credit card always says pls add credit everything make call😔😔,3
2105,great app,good app calling international thing restriction calling 30 different numbers per month limitation 30 numbers removed,5
2106,expensive line clear,times call overseas norespond already three minutes go time speak hear cant hear use dont time buy phone card otherwise chiper clear second thing dont like top automatically setting still self want top need,2
2107,sms,bring back sms,3
2108,acceptable,sometimes clear greatbut times frustrating oter person talking away im onli getting every second wordso talking top otherat timebut gud day clearotherwise frustrating hang,3
2109,excellent,using rebtel service year,5
2110,good,best app call cuba,5
2111,pls refund,hi purchased canada unlimited app week ago didnot get free mintue today try purchased got free mintues charged twice pls refund,1
2112,refund 14693446005,using trial period rebtel 7days charged india calling cancelled service dint like satisfied trying reach rebtel customer service till date respond mails bother refund money back stopped using service ever since charged kindly look refund back amount charged number thanks awaiting quick reply,1
2113,disappointed,name danson mwangi,4
2114,loved service,using calling cards previously needed something cheaper unlimited calling found rebtel,5
2115,good app couple disadvantages,account gets restricted customer care phone number call fixed get quick responses emails,2
2116,good option calling india,enjoying app unlimited calling option india,5
2117,reliable,rebtel reliable app good quality,4
2118,rebtel,fair choice every one make cheap calls need improve certain features like call dropping middle conversation,3
2119,excellent application,much happy rebtel almost year using without regrets started using unlimited calls plan india limited number calls also one good thing rebtel call quality accurate billing used many applications call drop quality good one good thing changing new logo truly deserves caption hijacking calls,5
2120,much hazle lots technical problems,chat operators know solve standard problems thinnoutnkd ordinary screwed,3
2121,good,recommend friends,5
2122,thanks service,love rebel service ive using years rate reasonable cant go wrong,5
2123,extra fees good movement,recently move apple pay soft payment throw apple apple applies fees could pay much fees worth use application,1
2124,great call services,enjoy using rebel provides grate call rates clear line,4
2125,reliable service,perfect app international calls quality best thanks rebtel,5
2126,worst customer service ever recieved app dont work intercepted calls,used rebtel yrs get issue get charged international calls also charged rebtel app appears intercept callsi email trails cowboy company saying wont refund money despite showing phone bill provided info required,1
2127,worst company customer service,worst app ever working free minute worked recharged stopped working event customer service respond ever,1
2128,peak hours voice quality poor,previously using skype features wise almost,4
2129,good one,cheap best,3
2130,wonderful,best app,5
2131,nice affordable prices,wise use rebtel,5
2132,great experience,honest guys happy rebtel service one thing wan na let know provide number email contact problem question last month ask question couldnt get number email please provide beneficially customers,5
2133,good,good app service,3
2134,good,good use application,4
2135,texting,need text option back thinking moving option id needed times despite good things sbout rebtel equally important,3
2136,good allow connections talk time,good allow connections talk time,3
2137,cheap realiable,sign recharge promotions cheap sometimes calling wont great,4
2138,poor support experience,months back charged multiple times contacted support times never got money back support bad,1
2139,excelent,excelent service,5
2140,disappointed technical issues,disappointed technical problem website used app year ago made phone calls india year ago stop using app recently reinstalled app showed made phone calls recently completely diffrent time dates caused real trouble family life sure made phone calls also show phone activity log added credit twice app purchased credit website could please confirm technical issues app recentley possible app refresh could possible time date call history could wrong made enquiry apple credit money refunded questions possible date time could wrong call history please get back real issues family life right also provide times date call history screenshots well,1
2141,frustrating app real bas support,options app pricing clear believe intentional auto deduct money users account,1
2142,unable call international philippines,excited came across rebtel revolutionize calling anywhere parts world give try end frustrating almost throw phone away yeah bad,1
2143,voice quality rebtel,excellent voice quality call drops,5
2144,sometimes frustrating,call india regardless number reachable network error rebtel simple gives bell ringing bad,2
2145,bad app bad customer support,downloaded rebtel 41 play store recharged 10 unlimited callsi able calls phone using app getting problemi contacted customer support havent solve issue saying network issueactuallyi dont network issue mobile still saying network,1
2146,good could better,overall connection quality calls better services used prices popular call destinations less expensive free rebtel rebtel calls extended countries knowim dreaming supposed honest opinion,4
2147,good,far itt good,5
2148,calling overseas made easy,hey wan na honest app rebtel icon upside awesome making phone calls family africa twice times week feel like right home,5
2149,trustworthy,nice experience rebtel,5
2150,quality,great quality service,5
2151,excellent services,excellent service happy use rebtel would like introduce known people friends,5
2152,calls get connected,even subscription always ask recharge ans times busy tone even person even using phone come rebtel try fix issue please let customers know cant ridiculous,1
2153,excellent,im using one best service 10 years great job,5
2154,value customer concerns,company absolutely value customer evident fact dont even customer care number using service months recently found started charging twice last couple months last month reached asking charged twice said sorry system error cant refund instead use service amount charged means wanted 30 days service forced 60 days service charging twice also said wont repeat removed credit card details added new credit card wont use old credit card charge twice found charged twice new credit card really dont know guys mean limit careless customer service company starts acting like thugs extracting money without permission start thinking companies dont right exist,1
2155,zero stars scam,avoid unless enjoy scammed,1
2156,need optimize app,app optimized fully im facing lots basic issues app even make call playing song app doest pause song call connected,3
2157,allow text sms facilities make great service,connection clarity good,4
2158,echo conversation,problem service hear recording conversation talking,2
2159,easy use,rebtels service easy use recharge account,5
2160,quality affordable service,great support team,5
2161,excellent,excellent thank much,5
2162,mejor problem,doesnt inform number want call offthough number still ringing thts really weird please fix,3
2163,bad experience rebtel cheated,given advertisement web call india 10 one month days opened account 3rd july fed credit card details rebtel account gave link download apps beauty link work tried two weeks download apps meanwhile taken 10usd account even though using services customer service number also chatting thru customer support get proper solution downloaded application two weeks used service two days next day calling india says enough credit call india approached customer support could make call know said,1
2164,customservice poor,sent email regarding subscription weeks ago havent received reply phone number contact,1
2165,service rating,good servicebut receptive clarity could improved,4
2166,trop chère,prix très élevé,3
2167,excellent,would recommend,4
2168,excellent service,currently receives quality excellent services please keep,5
2169,cool,overall good experience rebtel good service good quality voice,4
2170,best international calling,best cheapest international calling app,5
2171,economical,rebtel continue make telecommunications affordable easier use,5
2172,excellent connection conversation,prompt response clear conversation affordable rate,5
2173,happy rebtel,happy rebtel would like something like others apps send free sms cuba thanks,5
2174,good job keep,rebel good job great customers concernkeep,5
2175,exelent,good comunications,5
2176,rebtel,excellent service,5
2177,rebtel,excellent connectivity every time excellent value money,5
2178,stolen account,someone else using account whoever buying 10 dollars credit every day account stolen,1
2179,good,choice,5
2180,good,reall good service sometime call disconnects automatically moreover reloads plan call always ask dial number rebtel pin sometimes irritating rest good,4
2181,cant make calls india,cant make calls indiarebtel cheated lose 10 euros,1
2182,unlimited mean unlimited rebtel,quantity phone numbers excess 30 causes revocation unlimited minutes advertised disclosed properly questionable business impact rebtel cost given automation phone system,3
2183,clear connection,rebtel gives clear rapid connection cuba,5
2184,international rates ghana high,problems connecting rebtel app ghana switched numbers settings,3
2185,need vpn work,im united arab emirates software work well strong vpn software rabtel calling software got blocked country telecom companybecause vpn get poor quality voice time next party cant hear trayed 4g fast wifi,1
2186,far good,didnt give five stars doesnt let put money every time want everything else pretty good,4
2187,great services call clear,exellent services,5
2188,excellent service,regrets whatsoever using company,5
2189,great service,service great one thing want request please bring back india unlimited service previously,5
2190,useful app,keep greatest work,5
2191,nice,excellent app like,5
2192,happy dont lnow nt working without internet phn option call without internet,call without internet wifi,3
2193,good service,easy use site app straight forward easy buy minutes well great service,5
2194,fast reliable,make sooo easy recharge mobile phone cuba highly recommended,5
2195,talking africa,signal isnt always clear part acceptable,4
2196,new rebtel use,new rebtel please use used recommend friends never many options might cost bit stay future trouble,1
2197,customer service number,good customer service number call case need immediate attention,4
2198,efficient customer care support,using rebtel calling india doubt call quality unbeatable auto payment option switched deducted 13 every week though offer 13 month wrote support option application received reply using rebtel heavy pocket till date given 52 calling,2
2199,service provided,please continue excellent services,5
2200,needs improvements,call quality times good rebtel app needs major improvements available apps,3
2201,good,useful app,5
2202,good app,good app connect people home country,4
2203,outstanding,thank clear reliable communications rebel humans,5
2204,great service,genuine site trust use,5
2205,unlimited india call,expect stop unlimited india calling,4
2206,great possibility even better,hope rebtel add index screen next contact list users find contacts easily,4
2207,better call clarity less expensive,using skype calling changed rebtel easy use call clarity better skype also less expensive skype,5
2208,extent,cool app,5
2209,use internet call still deduct credit,use internet still deduct credit,4
2210,wish pc phone,wish would pc phone also app blackberry,5
2211,sound quality price,time sound quality drops receiver hear echo first thing attracted rebtel india unlimited plan drop plan using 1000 minmonth plan,3
2212,first month bill 98 euro,using smartmobile sim card using rabtel application called india last month today received bill smartmobile bill amount 98 euro really bad service total disappointed service way avoid paying 98euro,3
2213,account restricted restricted private account account business calls several friends recomended rebtel also,complaint regarding rebtel voip provider,2
2214,reliable customer service bad im going bak skype,call usa australia sometimes times day connect conference serivce purchased service working resolved worked within 24hrs worked fine week plus service stopped days ago still doesnt working heve asked via email many times give answers call log call two numbers usa tested conference number usa skype old provider working issue rebtel service im leaving need reliability,1
2215,coolit serves wellmore grease elbow,coolit serves wellmore grease elbow,5
2216,purchased minutes bank account charged make call,purchased minutes bank account charged make first call message get insufficient balance make call please top try difficult find number call customer care wrote customer care wont resolved 48hrs terrible service,1
2217,excellent clarity,excellent voice clarity instant connectivity call,5
2218,rebtel charging customers credit card without consent,seems like rebtel engaged completely unfair business practice dupe customers,1
2219,borderline scamming,even worse thought belligerence customer service anything except write emails amounting fault overbilling etc et rebtel understanding billing process credit card issuers patience kindergarten operation turned ex handle,1
2220,great value money restrictions,pros,4
2221,calling good recently issue outgoing customer service,calling good using long time recently issue outgoing customer service provide immediate resolution took days get resolved stopped connection got mobile connection,3
2222,rebtel review,rebtel efficient easy use work customer service response time cos issue line blocked couple days due number trying call took get back hooked,5
2223,simply awesome,service simply awesome actually call talk without hasty call credit,5
2224,good features user friendly,feel rebtel service good user friendly,5
2225,excellent service,ok explain appears two different accounts call lagos nigeria yet usually second account appears 500 minutes use minutes account diminished well someone else using account thanks attention,5
2226,dependable,lucky chose rebtel provider depend wife gets visit family overseas dependable clear crisp recommend anyone needs cheaper rate overseas keep excellent service quality always number provider thanks rebtel,5
2227,good quality great app,convenient especially local voice call require wifi internet long distance call also improvement made app great dont call special number calls connected call lot fact use 600 minutes call nigeria less week worth call quality super good glitches sometimes though international call bad also call connects even partys phone switched bad taking star made think fiancée quarrelling wont pick phone whereas phone completely couldnt charge phone also credit got deducted dials 20min plus continued dialing dial lasted mins really made mad well lets continue review improvement like make app recognizable calling app connect without going rebtel app every time,4
2228,excellent,call quality good excellent network,5
2229,simply super 30 callers month,fast connection,5
2230,good experience till date baring instances,user experience ease dialing looks apps good call quality good instances interruptions call drops conversations bad experience call get connected phones india frequently call would still hearing dial tones would give hint person called connected,4
2231,calling thru rebtel perfect,im happy using agency calls heard perfectly,5
2232,worst gon na use anymore,rebtel lots problems like frequent call drops hearing problems addition thay made calls limited india really annoying see minutes deducted bad conversation,2
2233,dont link credit card rebtel account shock shock,took indiaunlimited plan charge 10 per month,1
2234,poor calling connectivity low voice clarity,times im trying connect india numbers saying unable connect number moment,1
2235,bad services even family hear clearly,bad services even family hear clearly always cut cal 10 times,1
2236,best,simply best,5
2237,india unlimited,im using india unlimited calling good speak loved ones 10 price ok,4
2238,need improvement,network ok still need work voice claritysometimes wont hearing next person averagesatisfying,4
2239,voice clarity excellent,call connects without issues call qulaity excellent recenlty improved customer service lot even though dont customer care number email service pretty fast normal get reply back day,5
2240,rebtel best,best phone service provider still rooms improvement,4
2241,worst service,service paid extra 200 network operator worst service got cheated rebtel never suggest friends,1
2242,anytime,alwayz answer need even problems app doubtthe calls hight quality love rebtel,5
2243,good calling option,happy call quality connectivity rebtel sometimes response customer support also contact contact,4
2244,nice application,love app much text capability come back please bring back,4
2245,everything good except issue resolving,think good aspects need concentrate customer support,4
2246,excellent,best calling card ever used,5
2247,awesome clear voice calls,awesome clear voice calls although cheaper,5
2248,good minor problems,sometimes theres much voice delay calling abroad sometimes person end sees different phone number caller id call call gets dropped every 4060 min apart like app,4
2249,use need,excellent app good deals clear connection,5
2250,cost service,good service rebtel use india calling get 10 calls drop cost stand point hope price increased 10 unlimited economical budget,4
2251,awesome calling experience,working us family india previously used call family using calling card providers rates wat rebtel quality also good compared rebtel important part rebtel call goes number calling unlike cheap calling cards voice clarity pretty good case rebtel instances issues rebtel keep asking review call provides us better quality next time thanks rebtel team providing awesome service,5
2252,able update new number using account,overall good service really enjoying app,4
2253,better way stay connected,using rebtel around months service really good calls clear,5
2254,used better,used much better call clarity reduced significantly last month two,4
2255,good,like reptel connection much easy connect loved ones talk happy use reptel,5
2256,rebtel,one best clear call home,4
2257,efficient,glad services never regretted using rebtel never disappointed calling nigeria south africa anywhere,5
2258,excellent,satisfactory,5
2259,customer service,good customer service response swift satisfatory,5
2260,excellent phone service,saves lots dollars compares sprint metro likes international calls,5
2261,international calling,service providers giving unlimited calling india 10month without restrictions numbers calling rebtel restrictions,3
2262,getting billed carrier international calls made via rebtel,past months noticed months really high bills investigated found internal calls made rebtel billed carrier,2
2263,used good grew,anymore good credit drops even call doesnt get hidden fees working really need accept payment card expired even add new one,1
2264,useless overcharged unable make calls customer service,beware,1
2265,dont make one expensive mistakes life trusting company,wanted make calls nigeria google searched found rebtel quickly paid 260 mins refered friend use service normally cant make international calls directly phone paying could expended 260 mins got bill 1000 network provider rebtel covering calls felt broke trust fiduciary responsibility company collect money also provide information use services,1
2266,worse rude app hav ever seen avoid find another alternative protect ur account scamming false payments,hello everyone,1
2267,rebtel cheater,recharged 1000 min india calling unable make call without making successful call balance minute 757 half hour time,1
2268,monthly 15dollar deducted account,notice debit card deducted twice 15 usd month 20th,2
2269,worst support even seen,raised couple support tickets saying account suspended able place calls india talk family days got resolution also dont number escalation point contact call complain work support even seen company,1
2270,unresponsive service overcharged earlier,update 12 nov 2017,1
2271,great app,great app recently got blocked saudi luck fix issue,5
2272,service past two days,nice cheap calling service may 13 problem service calls india saudi arabia ring call anyone call actually gone attend call neither us hear anything time money get wasted please something fix issue thanks,4
2273,fraud took money account without adding minutes email restricted account already loaded minutes denied access already loaded account,never treated badly service customer rebtel years never cause worry till april 23rd 2010 took money account supposedly monthly subscription charge without email adding minutes account monthly subscription going well would get email immediately gone also minutes loaded rebtel account,1
2274,worst business ever,one worst customer service ever life sure business scam didnt get kind explanation reason cant use app anymore cc information app feel like expose thieves scammers sent facebook message sent general support nothing,1
2275,onsite customer service link poor better sort things messaging facebook page rebel help,tried rebtel pleased result recommended company friends family seems fine problem occasion credited account using paypal option rebel give credit could see paypal paid contacted rebel told could see error part asked details sent rebel paypal receipt answer chased answer went paypal filed dispute rebel immediately suspended account sent automated message replied rebel answer,3
2276,use service false rates time buying,mentioned previous reviews company seem think ok change call pricing paid service without prior notification,1
2277,scam,hi folks please stay away company new rebtel client prices per min changing quick huge difference platform example topped fiver day showed balance 200 min one european country mobiles three days showed min available price sky rocketing per min 25c 35c mad increased price without notification dont understand happen joke scam also day offerd subscription unlimited calls 7per month one european country dont see subscription available particulary country noticed crowd working tricky fools people advertising promoting productservice one price end consumer gets absolutely different price matter reported consumer protection authorities absolutely ilegal act way sued breaching consumer rights advice shop around better service thanks,1
2278,warning delete credit card information payment,apps website often charge card file without authorization making reputation questionable customer service nonexistent manage contact take weeks finally bring resolution beware scammed im still trying get money back,1
2279,warning delete credit card information payment,apps website often charge card file without authorization making reputation questionable customer service nonexistent manage contact take weeks finally bring resolution beware scammed im still trying get money back,1
2280,demonstrated competence,competence demonstrated every turn satisfied service service choice nigeria,5
2281,poor customer service failure provide service,using rebtel year issues customer services resolved less 24hrs customer service provided pin trying change phone number changing location account restricted emailed customer support nee unlock account provide new pin needs send email address call explained need change phone since moved emailed many many emails replies,1
2282,poor customer service failure provide service,using rebtel year issues customer services resolved less 24hrs customer service provided pin trying change phone number changing location account restricted emailed customer support dthat nee unlock account provide new pin needs send email address call explained need change phone since moved emailed many many emails replies,1
2283,rude customer service,please use service used rebtel least years successfully wake worst case scenario even worse customer service platform posted facebook page couldnt connect calls course havent even opened facebook profile years would know make calls unknowingly rebtel working mind voice system says everything says normal day welcome rebel please enter international number want call etc call topped account 500 minutes im even worried make usual calls relatives friends unknowingly next day find instead charging rebtel account supposed happen calls know due connectivity issues course att picked 400 bill five days trying contact wind contact facebook end saying oh dont see calls logs well course system actually arent going see anything say well give 20 credit sign good faith 400 20 good faith come try hide behind issue interfering third parties system fooled point even bill emotional toll taken included email tequiladube yahoocom anyone wants evidence thieves wants see proof monster im advising,1
2284,recharging account,liked call quality could recharge account sudden money deducted account still could connect service contacted rebtel receive reply loyal customer deleted account opened another account two days line exact issue time round decided enough enough opted another service,1
2285,one star overreaching,contacted rebtel support concern promptly replied 25 minutes explained concern replied days course make sure wasnt problem first ticket ive made least five attempts almost like rebtel picked business ran away still running ignoring ive never annoyed,1
2286,global customer service failure,using rebtel year issues customer services resolved less 24hrs four days account suddenly restricted following payment paypal account sent 20 emails replies rebtel gone app working login fails recognise account details help rebtel still business,1
2287,wrong information,start use rebtel 6th april heard friend suggest use cheap,2
2288,payment failed,trying activate 10 subscription usa india every time show payments failed,2
2289,refunded rebtel,made post earlier entitled feel robbed rebtel,4
2290,poor business preactice,look company impress rate 25 usd cents per minute call cuba charge usd successfully call 23 minutes happy added 10 dollars credit rate 60 usd cents per minute poor way business company set via misleading practice,1
2291,cant connect,would recommend rebtel anyone bought 10 credit everytime tried call said sorry unable connect waste time money,1
2292,multiple payment,hi,1
2293,billed mutiple times despite raising concerns,using usa india 10 unlimited plan month billed two times 10 days raised issue told auto recharge enable got recharged requested cancel extra transaction refused sothey wil give money back,1
2294,good quality service,good quality calls new app love,5
2295,euro india,liked euro plan india available rebtel one among voip please bring back,3
2296,worst voip calling card service ever,unfortuntelty website doesnt allow post reply hence create second id,1
2297,worst voip calling card service ever,used many voip calling card services vonage stena raza unfortunately rebtel,1
2298,please dont charge,feel like company robbing last week placed calls even though seven minutes minutes gone said hello,3
2299,good,improve little everything almost good,5
2300,good app calling call selected number,purchased unlimited india calling pack calling number hi say call selected number,4
2301,poor quality,worst appfull noiseinterupptionsunwanted call drops waste money,1
2302,good,ya good needs speed internet,5
2303,good,good one thing dont conference call talk,4
2304,working bluetooth headset,everything good calling rebtel keep phone always ear loud speaker connect bluetooth device phone rebtel call voice working whatsapp calling imo calling works bluetooth headset dont need keep ohone hand use operating laptop call working something else feature guess help increase business,3
2305,best make international calls,best way make international calls connects one dial voice quality good improving,4
2306,clear calls,got clear calls,5
2307,poor service,rebtel connection drops often,1
2308,worst limited number scheme,might access many countries limited numbers goodif limited give offer usi hate thisthats reason many people using applications,1
2309,unacceptable customer service,using rebtel years call quality price absolutely complaint smooth experience sometime january 2016 changed rebtel changed website worst possible experience customers access account successful login contacted customer service feb 3rd 2016 received email support telling see logged already mentioned could login unable access account started emails every day suggesting try browser deleting cookies etc one email one suggestion took exactly 14 days issue fixed technical team,1
2310,drops time,calls drop middle conversation even connecting india numbers days,1
2311,excellent,almost clear reasonable really helpfull,4
2312,pure quality satisfaction,even single time disappointed economical pure sound quality,5
2313,experience,good compare apps voice quality really good thing found using app phone gets heated,4
2314,poor,voice quality good disturbance also high,2
2315,cheap best,rebtel cheapest best service call india one month free trial good happy service,4
2316,good,please kindly provide 800 mins india offer good usd please provide soon possible,4
2317,good,cheaper good quality,5
2318,good service cant beat price,compliance,5
2319,awesome,affordable good experience always use cal india refer every one sometime takes time cal,4
2320,bad customer service,using rebtel since last months really good start days ago recharged rebtel account unlimited calls india deducted 10 usd account still service available complained many times stillmy problem resolved,1
2321,great service good price,great service would better enable conference calling wish family members time festivals holidays,5
2322,service fine glitches,make call service used family member though use local numbers call still call parallel,2
2323,provider still charging,provider still charging calls made rebtel,1
2324,one bonding connections people around world,rebtel one helping get connected people living across world,5
2325,unlimited call package india worked,came know new policy using deal unlimited call package india tried call number heard message possible call number exceeded calling unique numbers never know rule view cheating rebtel tell policy starting customer decide whether wants purchase deal decide number priority,1
2326,good app,good app talk,4
2327,good app india calling,good appgood experience use app india calling,5
2328,customer support bad unlimited india working,customer support experience terrible,1
2329,dropped calls cuba,downloaded rebtel iphone call boyfriend cuba fair last three years using google voice cuballama dropped calls sometimes almost impossible hear eachother seems case cuban communications high hopes read reviews using rebtel call cuba getting crystal clear connections far time call doesnt even ring end eventually 15 min ringing takes message verizon carrier saying call couldnt completed connects perfectly hear well best far hear well one time got clear reception voice problem times successfully connected minutes conversation drops call get connect matter many times try reconnect frustrating usually get ring next day 10 minutes drops call wont reconnect like said high hopes,3
2330,happy customer,using rebtel two years honest laziness part find another provider spoken friends done rebtel following reasons,3
2331,provieder belgium charged calls south africa made via rebtel,provider belgium telenet charged calls made via deals south africai purchased via rebtel calls cost €2380 charged amount €36110 provider rejected request investigation calls made via rebtel contact number rebtel site subsequently mailed rebtel waiting answer believe happened requested pay provider refund costs incurred getting money back paid via credit card rebtel option purchase made good faith could call cheaply south africa hope procedure rebtel take full responsibility problem reputable reviews checked length signing service advise rebtel remove deals website avoid people becoming victims fate reason use rebtel charged providers january used rebtel via contact number brussels contact south africa provider charge february charged every call made sent mails rebtel support last night proof bill provider clearly stating number called number given site contact number country calling 27 87 550 23 47 wait 48 hours take get answer hope rebtel contact provider sort nowhere find telephone number customer service everything done mail hope trust rebtel solve unpleasant experience always good response patricia customer service meantime make calls using rebtel contact number destination country provider charge full price time us really rate rebtel customer service solving problem things go wrong reviews really count keep everyone posted progress matter,1
2332,nice,good experience,4
2333,little expensive,little cheaper make app better otherwise rebtel one best app calling international number keep,4
2334,,one best quality service provider havent seen would appreciate behind hard work,5
2335,good voice quality technical issues,rebtel offers good quality calls nice mobile application choice subscriptions however main concerns using service follows,3
2336,excellent service,thanks rebtel giving us facility stay connected family friends anytime anywhere small amount every month,5
2337,great lcbq,nice experience low cost best quality,5
2338,excellent apps,since month using appsgood qualityeasy use good service thanks rebtel team,4
2339,really love company service,yourcommunication clear,5
2340,lowest price ever,compared international phone carrier rebtel one cheapest give fit back time write,5
2341,poor customer service rates super high,company used low rates lot local numbers totally disappointed know rates high local numbers limited still delete existing number order add new number yet contact number email sucks,1
2342,excellent,excellent application using make calls india simply amazing recently move india app giving unlimited monthly calls call quality good without droppings,5
2343,great marketting stretegy dishonest,calls clear cheatsays calls nigeria dollars 250 minutes first payment charge dollars 50 minutesthey never tell start,2
2344,good cheap uninterrupted network good service,hi,5
2345,worst customer service ever,usually go subscription renewal thor automated system never explicitly choose need unlimited india calling october november manually since every month automated system renews plan revamped site automated system chose world credits instead unlimited plan contacted customer service never ending conversation way call everything email every email theyll take days reply reported said fault fault would contact first place option give zero rating would given zero customer service,1
2346,rebtal,feel good rebtal stay connect family,5
2347,feedback,overall good total numbers restricted limited numbers mentioned unlimited otherwise satisfied,4
2348,worse service,problem buying plan also placed service request customer care email said contact bank contacted bank said problem card response rebtel placing 15 emails reply nobody fix issue,1
2349,good quality simple user interface,used variety calling cards call india us one discontinued months either call drops unusual price hike bad call quality delay etc ever since started using rebtel problem big enough stop using dependable best user interface android apple less 10 month unlimited offers best rates seen honest review looking good calling card definitely recommend,4
2350,notbad,good sometimes gets hangout also problem call talk long durationit would better guyz fix,4
2351,good call quality services,network good need data plan use,5
2352,good,easy use rebtel,5
2353,need us customer care number,recently locked account dont us customer care number emailed regarding issue took almost business days respond email also worst part still havent resolved issue,1
2354,recommend anyone,app simply awesome zero frictions single problem far,4
2355,excellent service,never dropped talking someone really gud clarity sound easy use like calling paying,5
2356,sometime app doesnt work overall good,sometime app doesnt work overall good,4
2357,person hear,person hear lot disturbance line,1
2358,great calls,rebtel calling india great also tried calling canada awesome moreover must state overall process making call easy,5
2359,messaging,rebtel remove messaging feature,1
2360,good voice,good voice,1
2361,good,good recently ive trying add contacts saying reached limit numbers within local area code cant add anymore please resolve issue tell fix manually,3
2362,great calling plans minimal price,much happy service provided rebtel application international student comfortable talk family friends back india united states calling plan indeed much affordable best incall experience without hassle,5
2363,quality awful,already wasted purchase calls disconnect communication impossible connection cuts voice garbled heard keep hanging calling back trying get enough quality able convey simple message useless,1
2364,call quality issue,came rebtel vonage cheaper rate call quality mark calling land line even worse hopefully make call quality better,2
